序号,日期,板块,产品,渠道,消耗(万),GMV(万),ROI,退货率(%),备注
1,2025-01-03,美妆,精华液,抖音,5.8,18.0,3.1,4.2,效果好
2,2025-01-05,美妆,面膜套装,小红书,8.2,23.4,2.85,5.6,持续投放
3,2025-01-07,美妆,防晒霜,抖音,6.5,22.4,3.45,3.1,新素材测试
4,2025-01-08,美妆,口红礼盒,小红书,4.2,10.9,2.6,6.8,素材待优化
5,2025-01-10,美妆,洁面乳,快手,9.5,30.4,3.2,4.5,效果好
6,2025-01-12,美妆,眼霜,小红书,7.0,20.3,2.9,5.0,
7,2025-01-14,美妆,粉底液,抖音,5.0,17.8,3.55,3.8,新素材测试
8,2025-01-16,美妆,卸妆水,快手,3.8,9.5,2.5,7.2,稳定投放
9,2025-01-18,美妆,面霜,抖音,10.2,33.7,3.3,4.0,效果好
10,2025-01-21,美妆,美容仪,小红书,7.5,20.6,2.75,5.5,持续投放
11,2025-01-24,美妆,香水,抖音,6.0,21.6,3.6,2.8,效果好
12,2025-01-27,美妆,化妆刷套装,快手,4.5,13.3,2.95,4.8,稳定投放
13,2025-01-02,食品,坚果礼盒,抖音,8.5,21.2,2.5,3.2,促销期
14,2025-01-04,食品,牛肉干,快手,12.0,28.2,2.35,4.5,稳定投放
15,2025-01-06,食品,螺蛳粉,淘宝直播,6.8,18.4,2.7,2.8,效果好
16,2025-01-09,食品,咖啡豆,抖音,10.5,23.1,2.2,5.0,素材待优化
17,2025-01-11,食品,蜂蜜,快手,7.2,18.7,2.6,3.5,持续投放
18,2025-01-13,食品,燕麦片,淘宝直播,9.0,22.1,2.45,4.2,稳定投放
19,2025-01-15,食品,巧克力,抖音,11.5,26.4,2.3,3.8,促销期
20,2025-01-17,食品,果干,快手,5.5,14.0,2.55,4.8,新素材测试
21,2025-01-19,食品,茶叶,淘宝直播,13.0,24.7,1.9,5.5,素材待优化
22,2025-01-22,食品,酸奶,抖音,8.0,14.0,1.75,3.0,持续投放
23,2025-01-25,食品,麻薯,快手,9.5,17.1,1.8,4.0,
24,2025-01-28,食品,鸡胸肉,淘宝直播,10.0,20.0,2.0,5.2,稳定投放
25,2025-01-30,食品,蛋白棒,抖音,7.0,11.5,1.65,3.5,新素材测试
26,2025-01-03,服饰,羽绒服,抖音,8.0,13.2,1.65,12.5,素材待优化
27,2025-01-06,服饰,卫衣,快手,15.0,8.0,0.53,22.3,
28,2025-01-09,服饰,牛仔裤,小红书,10.0,14.5,1.45,16.5,退货率偏高
29,2025-01-12,服饰,运动鞋,抖音,6.5,10.1,1.55,14.2,新素材测试
30,2025-01-15,服饰,围巾,小红书,3.5,6.6,1.9,11.0,稳定投放
31,2025-01-18,服饰,大衣,抖音,11.0,14.3,1.3,18.5,退货率偏高
32,2025-01-21,服饰,毛衣,快手,7.5,11.2,1.5,15.0,持续投放
33,2025-01-23,服饰,棉服,小红书,9.0,10.8,1.2,17.0,素材待优化
34,2025-01-26,服饰,手套,快手,4.0,6.8,1.7,13.5,稳定投放
35,2025-01-29,服饰,保暖内衣,抖音,7.0,7.7,1.1,19.5,退货率偏高
